apiname_guess,key_lower,role,win_rate_role,pick_rate_role,ban_rate_role,role_rate,tier_role,rank_role,counters_ids,counters_wr
Shyvana,shyvana,JUNGLE,0.506435,0.0142786,0.0030429799999999994,0.919299,4,34,36;11;106,0.4556;0.4642;0.4695
Olaf,olaf,TOP,0.505083,0.0174871,0.0114524,0.805124,4,32,420;67;875,0.4525;0.4575;0.4596
Shaco,shaco,SUPPORT,0.504894,0.0221002,0.35483800000000004,0.287046,4,21,37;902;40,0.4284;0.4571;0.4576
Heimerdinger,heimerdinger,TOP,0.504575,0.0185297,0.0487371,0.627631,4,30,157;14;41,0.4526;0.4539;0.4593
Quinn,quinn,TOP,0.504,0.026616299999999996,0.0408706,0.722751,4,25,54;39;36,0.4265;0.4521;0.4529
Senna,senna,ADC,0.503786,0.0169491,0.014460300000000002,0.278643,4,24,45;96;29,0.4395;0.4808;0.4817
Vayne,vayne,TOP,0.503753,0.0172238,0.0626192,0.186379,4,31,54;17;133,0.3890;0.3995;0.4256
Zeri,zeri,ADC,0.502298,0.020065,0.0026710299999999996,0.961982,4,23,45;96;895,0.4597;0.4614;0.4694
Fiddlesticks,fiddlesticks,JUNGLE,0.502291,0.024702800000000004,0.0127238,0.662687,4,25,32;233;36,0.4585;0.4592;0.4670
Elise,elise,JUNGLE,0.501839,0.0168027,0.0133174,0.672406,4,35,36;17;233,0.4474;0.4556;0.4557
Braum,braum,SUPPORT,0.501538,0.0396093,0.0290845,0.995839,4,20,910;25;9,0.4591;0.4595;0.4604
Nunu u0026 Willump,nunu,JUNGLE,0.50051,0.0221328,0.00587799,0.884821,4,29,233;33;11,0.4524;0.4628;0.4658
Naafiri,naafiri,JUNGLE,0.500476,0.025676199999999996,0.052146200000000004,0.546615,4,26,56;131;102,0.4482;0.4501;0.4550
Ziggs,ziggs,MID,0.499902,0.0123477,0.0140387,0.281243,4,47,91;80;157,0.4214;0.4650;0.4663
Bard,bard,SUPPORT,0.499427,0.0395077,0.010759300000000001,0.988464,4,24,17;44;63,0.4494;0.4681;0.4689
Bel'Veth,belveth,JUNGLE,0.497883,0.0167544,0.025593600000000005,0.968245,4,37,33;233;32,0.4316;0.4621;0.4650
Swain,swain,SUPPORT,0.49709,0.0377075,0.0239034,0.648143,4,26,63;267;902,0.4453;0.4480;0.4503
Talon,talon,MID,0.496714,0.01317,0.0211082,0.338456,4,50,74;10;54,0.3759;0.4425;0.4447
Zac,zac,JUNGLE,0.496674,0.0237118,0.0109385,0.708647,4,31,25;876;141,0.4467;0.4498;0.4623
Akali,akali,TOP,0.496458,0.0162405,0.122561,0.169103,4,38,14;6;420,0.4445;0.4465;0.4522
Tryndamere,tryndamere,TOP,0.49594,0.0324932,0.023007199999999995,0.777819,4,26,54;17;19,0.4231;0.4438;0.4569
Tahm Kench,tahmkench,SUPPORT,0.495519,0.0305265,0.0258259,0.704903,4,32,44;60;63,0.4584;0.4639;0.4660
Pantheon,pantheon,SUPPORT,0.495432,0.0365039,0.0393433,0.398777,4,29,902;44;888,0.4505;0.4587;0.4605
Udyr,udyr,JUNGLE,0.494746,0.0179297,0.00943446,0.7876,4,38,233;427;24,0.4597;0.4619;0.4649
Evelynn,evelynn,JUNGLE,0.494556,0.0262019,0.026021000000000002,0.973697,4,30,23;33;233,0.4448;0.4469;0.4495
Xayah,xayah,ADC,0.494373,0.0391386,0.0060473,0.99194,4,20,115;901;45,0.4648;0.4658;0.4705
Pantheon,pantheon,TOP,0.49414700000000006,0.0206634,0.0393202,0.225731,4,35,83;50;14,0.4273;0.4377;0.4424
Annie,annie,MID,0.49414,0.0157003,0.0069854,0.813973,4,49,80;134;25,0.4331;0.4490;0.4530
Senna,senna,SUPPORT,0.493848,0.0422037,0.0144719,0.69383,4,28,32;143;63,0.4536;0.4643;0.4651
